food ID,food,Caloric Value,Fat,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium
0,cream cheese,51,5,0.8,0.5,0.9,0,14.6,0.016
1,neufchatel cheese,215,19.4,3.1,2.7,7.8,0,62.9,0.3
2,requeijao cremoso light catupiry,49,3.6,0.9,3.4,0.8,0.1,0,0
3,ricotta cheese,30,2,1.5,0.091,1.5,0,9.8,0.017
4,cream cheese low fat,30,2.3,1.2,0.9,1.2,0,8.1,0.046
5,cream cheese fat free,19,0.2,1.4,1,2.8,0,2.2,0.1
6,gruyere cheese,116,9.1,0.1,0.1,8.3,0,30.8,0.2
7,cheddar cheese,113,9.3,0.9,0.1,6.4,0,27.7,0.2
8,parmesan cheese,71,4.5,0.6,0.046,6.4,0,12.2,0.2
9,romano cheese,19,1.3,0.2,0.088,1.6,0,5.2,0.008
10,parmesan cheese grated,21,1.4,0.7,0.075,1.4,0,4.3,0.043
11,port salut cheese,465,37.2,0.8,0.8,31.4,0,162.4,0.7
12,swiss cheese,98,7.7,0.4,0,6.7,0,23.3,0.057
13,goat cheese hard,128,10.1,0.6,0.6,8.6,0,29.7,0.076
14,gouda cheese,100,7.7,0.6,0.6,7,0,31.9,0.2
15,pepper jack cheese lucerne,75,6,0,0,5,2.5,0,0
16,caraway cheese,106,8.3,0.9,0,7.1,0,26.3,0.2
17,gjetost cheese,1058,67,96.8,0,21.9,0,213.4,1.4
18,tilsit cheese,136,10.4,0.8,0,9.8,0,40.8,0.3
19,goat cheese,103,8.4,0.009,0.031,6.1,0,22.4,0.1
20,brick cheese,111,8.9,0.8,0.2,7,0,28.2,0.2
21,asadero cheese,402,31.9,3.2,3.2,25.5,0,118.7,0.7
22,camembert cheese,90,7.3,0.1,0.1,5.9,0,21.6,0.3
23,provolone cheese reduced fat,310,19.9,4,0.6,27.9,0,62.2,1
24,roquefort cheese,314,26,1.7,0,18.3,0,76.5,1.5
25,queso blanco cheese,366,28.7,3,2.1,24,0,82.6,0.8
26,queso seco cheese,315,23.6,2,0.5,23.8,0,75.7,1.8
27,goat cheese soft,75,6,0,0.3,5.2,0,13,0.1
28,mozzarella cheese,90,6.6,0.7,0,6.7,0,23.7,0.1
